cinema_id,movie_id,movie_name,date,start_time,hall,language,version,price,seq_no,crawl_time
38475,1142033,疯狂动物城2,2025-11-28,10:00,2号厅 免费停车3小时,国语,2D,33,202511280171702,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,10:30,3号厅 免费停车3小时,原版,2D,33,202511280171693,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,11:00,4号厅 免费停车3小时,国语,3D,38,202511280351274,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,11:30,5号厅 免费停车3小时,原版,2D,33,202511280351275,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,12:00,2号厅 免费停车3小时,国语,2D,33,202511280171688,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,12:30,3号厅 免费停车3小时,原版,2D,33,202511280171691,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,13:00,4号厅 免费停车3小时,原版,3D,38,202511280351272,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,13:30,5号厅 免费停车3小时,原版,2D,33,202511280351267,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,14:00,2号厅 免费停车3小时,国语,2D,33,202511280171697,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,14:30,3号厅 免费停车3小时,原版,2D,33,202511280171699,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,15:00,4号厅 免费停车3小时,原版,2D,33,202511280351268,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,15:30,5号厅 免费停车3小时,原版,2D,33,202511280351266,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,16:00,2号厅 免费停车3小时,国语,2D,33,202511280171705,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,16:30,3号厅 免费停车3小时,原版,2D,33,202511280171701,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,17:00,4号厅 免费停车3小时,原版,3D,38,202511280351270,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,17:30,5号厅 免费停车3小时,原版,2D,33,202511280351269,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,18:00,2号厅 免费停车3小时,国语,2D,33,202511280171692,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,18:30,3号厅 免费停车3小时,原版,2D,33,202511280171694,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,19:00,4号厅 免费停车3小时,原版,2D,33,202511280171689,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,19:30,5号厅 免费停车3小时,原版,2D,33,202511280351273,2025-11-26 14:08:45
